,Geography,Geographic Area Name,Geographic Area Name.1,State Name_x,State FIPS_x,Estimate!!Households!!Total,Margin of Error!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars),Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Families!!Total,Margin of Error!!Families!!Total,"Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more",Estimate!!Families!!Median income (dollars),Margin of Error!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Margin of Error!!Families!!Mean income (dollars),Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Married-couple families!!Total,Margin of Error!!Married-couple families!!Total,"Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more",Estimate!!Married-couple families!!Median income (dollars),Margin of Error!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Margin of Error!!Married-couple families!!Mean income (dollars),Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Nonfamily households!!Total,Margin of Error!!Nonfamily households!!Total,"Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more",Estimate!!Nonfamily households!!Median income (dollars),Margin of Error!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars),Margin of Error!!Nonfamily households!!Mean income (dollars),Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,FIPS,Vaccine,Geography Type,State Name_y,State FIPS_y,Survey Year,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
0,0500000US10001,"Kent County, Delaware",Kent County,Delaware,10.0,68023,1807,6.0,2.1,6.2,1.7,7.5,1.9,7.8,1.7,15.6,2.5,19.9,2.8,12.6,2.1,15.7,2.7,6.5,1.6,2.1,0.9,58001,5739,71690,4380,35.3,(X),(X),(X),(X),(X),44880,2417,2.8,1.5,4.2,1.6,6.1,2.5,6.9,1.9,14.4,3.2,20.2,3.6,14.0,2.9,19.9,3.5,8.8,2.5,2.6,1.2,69439,4554,82945,6208,(X),(X),34.4,(X),(X),(X),31138,2248,1.7,1.8,1.7,0.9,1.8,1.2,4.7,2.1,13.5,3.9,19.5,3.5,16.4,3.9,26.3,4.4,11.3,3.2,3,1.5,86615,7578,N,N,(X),(X),(X),(X),(X),(X),23143,2247,13.9,5.2,10.3,4.5,12.5,3.8,10.9,3.9,17.4,4.8,18.3,4.8,8.5,3.1,6.2,3.1,1.3,1.1,0.8,0.8,36842,5659,44970,4687,(X),(X),(X),(X),34.8,(X),10001,Pneumococcal,Counties,Kent,,2019,≥65 Years,Overall,74.2,72.8 to 75.5,
2,0500000US10001,"Kent County, Delaware",Kent County,Delaware,10.0,68023,1807,6.0,2.1,6.2,1.7,7.5,1.9,7.8,1.7,15.6,2.5,19.9,2.8,12.6,2.1,15.7,2.7,6.5,1.6,2.1,0.9,58001,5739,71690,4380,35.3,(X),(X),(X),(X),(X),44880,2417,2.8,1.5,4.2,1.6,6.1,2.5,6.9,1.9,14.4,3.2,20.2,3.6,14.0,2.9,19.9,3.5,8.8,2.5,2.6,1.2,69439,4554,82945,6208,(X),(X),34.4,(X),(X),(X),31138,2248,1.7,1.8,1.7,0.9,1.8,1.2,4.7,2.1,13.5,3.9,19.5,3.5,16.4,3.9,26.3,4.4,11.3,3.2,3,1.5,86615,7578,N,N,(X),(X),(X),(X),(X),(X),23143,2247,13.9,5.2,10.3,4.5,12.5,3.8,10.9,3.9,17.4,4.8,18.3,4.8,8.5,3.1,6.2,3.1,1.3,1.1,0.8,0.8,36842,5659,44970,4687,(X),(X),(X),(X),34.8,(X),10001,Td or Tdap,Counties,Kent,,2019,≥18 Years,Overall,67.0,65.7 to 68.3,
4,0500000US10001,"Kent County, Delaware",Kent County,Delaware,10.0,68023,1807,6.0,2.1,6.2,1.7,7.5,1.9,7.8,1.7,15.6,2.5,19.9,2.8,12.6,2.1,15.7,2.7,6.5,1.6,2.1,0.9,58001,5739,71690,4380,35.3,(X),(X),(X),(X),(X),44880,2417,2.8,1.5,4.2,1.6,6.1,2.5,6.9,1.9,14.4,3.2,20.2,3.6,14.0,2.9,19.9,3.5,8.8,2.5,2.6,1.2,69439,4554,82945,6208,(X),(X),34.4,(X),(X),(X),31138,2248,1.7,1.8,1.7,0.9,1.8,1.2,4.7,2.1,13.5,3.9,19.5,3.5,16.4,3.9,26.3,4.4,11.3,3.2,3,1.5,86615,7578,N,N,(X),(X),(X),(X),(X),(X),23143,2247,13.9,5.2,10.3,4.5,12.5,3.8,10.9,3.9,17.4,4.8,18.3,4.8,8.5,3.1,6.2,3.1,1.3,1.1,0.8,0.8,36842,5659,44970,4687,(X),(X),(X),(X),34.8,(X),10001,Pneumococcal,Counties,Kent,,2019,18-64 Years at Increased Risk,Overall,31.4,30.2 to 32.6,
9,0500000US10001,"Kent County, Delaware",Kent County,Delaware,10.0,68023,1807,6.0,2.1,6.2,1.7,7.5,1.9,7.8,1.7,15.6,2.5,19.9,2.8,12.6,2.1,15.7,2.7,6.5,1.6,2.1,0.9,58001,5739,71690,4380,35.3,(X),(X),(X),(X),(X),44880,2417,2.8,1.5,4.2,1.6,6.1,2.5,6.9,1.9,14.4,3.2,20.2,3.6,14.0,2.9,19.9,3.5,8.8,2.5,2.6,1.2,69439,4554,82945,6208,(X),(X),34.4,(X),(X),(X),31138,2248,1.7,1.8,1.7,0.9,1.8,1.2,4.7,2.1,13.5,3.9,19.5,3.5,16.4,3.9,26.3,4.4,11.3,3.2,3,1.5,86615,7578,N,N,(X),(X),(X),(X),(X),(X),23143,2247,13.9,5.2,10.3,4.5,12.5,3.8,10.9,3.9,17.4,4.8,18.3,4.8,8.5,3.1,6.2,3.1,1.3,1.1,0.8,0.8,36842,5659,44970,4687,(X),(X),(X),(X),34.8,(X),10001,Tdap,Counties,Kent,,2019,≥18 Years,Overall,39.4,37.4 to 41.5,
13,0500000US10003,"New Castle County, Delaware",New Castle County,Delaware,10.0,211592,2204,5.7,0.9,2.6,0.5,6.3,0.9,6.3,0.9,9.8,1.2,18.4,1.3,13.9,1.5,17.5,1.2,9.6,1.0,9.8,1.1,76328,2845,100948,3576,47.1,(X),(X),(X),(X),(X),132203,4055,2.8,0.8,1.5,0.5,3.6,1.2,4.6,1.0,8.3,1.4,15.6,1.8,15.6,2.1,22.2,1.8,12.1,1.5,13.8,1.7,95536,4285,121467,5365,(X),(X),45.9,(X),(X),(X),94703,3956,0.7,0.5,0.9,0.6,2.4,1,3.4,1,5.2,1.3,14,1.8,15.6,2.5,24.9,2.1,15.5,2,17.4,2.1,115691,5229,140376,7415,(X),(X),(X),(X),(X),(X),79389,4031,11.1,2.1,4.4,1.2,11.3,1.7,10,2.1,13.2,2,22.5,2.4,11.2,1.9,8.8,1.9,4.4,1.1,2.9,0.9,49852,2724,63051,3286,(X),(X),(X),(X),48.4,(X),10003,Pneumococcal,Counties,New Castle,,2019,≥65 Years,Overall,74.3,73.1 to 75.6,
15,0500000US10003,"New Castle County, Delaware",New Castle County,Delaware,10.0,211592,2204,5.7,0.9,2.6,0.5,6.3,0.9,6.3,0.9,9.8,1.2,18.4,1.3,13.9,1.5,17.5,1.2,9.6,1.0,9.8,1.1,76328,2845,100948,3576,47.1,(X),(X),(X),(X),(X),132203,4055,2.8,0.8,1.5,0.5,3.6,1.2,4.6,1.0,8.3,1.4,15.6,1.8,15.6,2.1,22.2,1.8,12.1,1.5,13.8,1.7,95536,4285,121467,5365,(X),(X),45.9,(X),(X),(X),94703,3956,0.7,0.5,0.9,0.6,2.4,1,3.4,1,5.2,1.3,14,1.8,15.6,2.5,24.9,2.1,15.5,2,17.4,2.1,115691,5229,140376,7415,(X),(X),(X),(X),(X),(X),79389,4031,11.1,2.1,4.4,1.2,11.3,1.7,10,2.1,13.2,2,22.5,2.4,11.2,1.9,8.8,1.9,4.4,1.1,2.9,0.9,49852,2724,63051,3286,(X),(X),(X),(X),48.4,(X),10003,Td or Tdap,Counties,New Castle,,2019,≥18 Years,Overall,69.7,68.4 to 70.8,
16,0500000US10003,"New Castle County, Delaware",New Castle County,Delaware,10.0,211592,2204,5.7,0.9,2.6,0.5,6.3,0.9,6.3,0.9,9.8,1.2,18.4,1.3,13.9,1.5,17.5,1.2,9.6,1.0,9.8,1.1,76328,2845,100948,3576,47.1,(X),(X),(X),(X),(X),132203,4055,2.8,0.8,1.5,0.5,3.6,1.2,4.6,1.0,8.3,1.4,15.6,1.8,15.6,2.1,22.2,1.8,12.1,1.5,13.8,1.7,95536,4285,121467,5365,(X),(X),45.9,(X),(X),(X),94703,3956,0.7,0.5,0.9,0.6,2.4,1,3.4,1,5.2,1.3,14,1.8,15.6,2.5,24.9,2.1,15.5,2,17.4,2.1,115691,5229,140376,7415,(X),(X),(X),(X),(X),(X),79389,4031,11.1,2.1,4.4,1.2,11.3,1.7,10,2.1,13.2,2,22.5,2.4,11.2,1.9,8.8,1.9,4.4,1.1,2.9,0.9,49852,2724,63051,3286,(X),(X),(X),(X),48.4,(X),10003,Pneumococcal,Counties,New Castle,,2019,18-64 Years at Increased Risk,Overall,34.8,33.7 to 35.9,
19,0500000US10003,"New Castle County, Delaware",New Castle County,Delaware,10.0,211592,2204,5.7,0.9,2.6,0.5,6.3,0.9,6.3,0.9,9.8,1.2,18.4,1.3,13.9,1.5,17.5,1.2,9.6,1.0,9.8,1.1,76328,2845,100948,3576,47.1,(X),(X),(X),(X),(X),132203,4055,2.8,0.8,1.5,0.5,3.6,1.2,4.6,1.0,8.3,1.4,15.6,1.8,15.6,2.1,22.2,1.8,12.1,1.5,13.8,1.7,95536,4285,121467,5365,(X),(X),45.9,(X),(X),(X),94703,3956,0.7,0.5,0.9,0.6,2.4,1,3.4,1,5.2,1.3,14,1.8,15.6,2.5,24.9,2.1,15.5,2,17.4,2.1,115691,5229,140376,7415,(X),(X),(X),(X),(X),(X),79389,4031,11.1,2.1,4.4,1.2,11.3,1.7,10,2.1,13.2,2,22.5,2.4,11.2,1.9,8.8,1.9,4.4,1.1,2.9,0.9,49852,2724,63051,3286,(X),(X),(X),(X),48.4,(X),10003,Tdap,Counties,New Castle,,2019,≥18 Years,Overall,42.4,40.2 to 44.5,
23,0500000US10005,"Sussex County, Delaware",Sussex County,Delaware,10.0,96624,2680,4.4,1.0,4.0,1.1,8.3,1.7,8.8,1.7,13.9,1.6,16.9,2.1,13.7,1.7,16.9,1.9,7.4,1.4,5.7,1.0,65155,3397,88437,4449,35.5,(X),(X),(X),(X),(X),65501,2734,2.3,1.4,1.7,1.0,5.8,1.7,6.4,1.8,13.0,2.1,16.4,2.3,16.5,2.3,22.3,2.7,8.3,1.9,7.3,1.3,82694,3846,101930,5549,(X),(X),38.2,(X),(X),(X),51953,2596,0.6,0.4,0.7,0.4,4.3,1.6,4.6,1.4,11.2,2.1,16.6,2.6,19,2.6,25.1,3,9.5,2.1,8.5,1.6,90777,3947,N,N,(X),(X),(X),(X),(X),(X),31123,2270,11.5,3,9,2.9,14.3,3.3,12.4,3,16.2,3.1,17.1,3.5,7.9,2.5,5.3,1.6,4.3,1.9,2,0.9,37199,3659,55620,6525,(X),(X),(X),(X),29.0,(X),10005,Td or Tdap,Counties,Sussex,,2019,≥18 Years,Overall,69.7,68.1 to 71.3,
27,0500000US10005,"Sussex County, Delaware",Sussex County,Delaware,10.0,96624,2680,4.4,1.0,4.0,1.1,8.3,1.7,8.8,1.7,13.9,1.6,16.9,2.1,13.7,1.7,16.9,1.9,7.4,1.4,5.7,1.0,65155,3397,88437,4449,35.5,(X),(X),(X),(X),(X),65501,2734,2.3,1.4,1.7,1.0,5.8,1.7,6.4,1.8,13.0,2.1,16.4,2.3,16.5,2.3,22.3,2.7,8.3,1.9,7.3,1.3,82694,3846,101930,5549,(X),(X),38.2,(X),(X),(X),51953,2596,0.6,0.4,0.7,0.4,4.3,1.6,4.6,1.4,11.2,2.1,16.6,2.6,19,2.6,25.1,3,9.5,2.1,8.5,1.6,90777,3947,N,N,(X),(X),(X),(X),(X),(X),31123,2270,11.5,3,9,2.9,14.3,3.3,12.4,3,16.2,3.1,17.1,3.5,7.9,2.5,5.3,1.6,4.3,1.9,2,0.9,37199,3659,55620,6525,(X),(X),(X),(X),29.0,(X),10005,Pneumococcal,Counties,Sussex,,2019,18-64 Years at Increased Risk,Overall,35.3,33.9 to 36.8,
